"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"275","162-87296",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,515
"276","162-87297",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,680
"277","162-87298",2018,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,480
"278","162-87299",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8203,700
"279","162-87300",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,529
"280","162-87301",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600
"281","162-87302",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,642
"282","162-87303",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0572,539
"283","162-87304",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.118,700
"284","162-87305",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.072,560
"285","162-87306",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,570
"286","162-87307",2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,462
"287","162-87332",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,400
"288","162-87333",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0255,400
"289","162-87334",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1999,575
"290","162-87335",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,450
"291","162-87336",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,635
"292","162-87337",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.069,620
"293","162-87338",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,600
"294","162-87339",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,425
"295","162-87340",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.169,635
"296","162-87341",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0671,500
"297","162-87342",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0222,575
"298","162-87343",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0119,625
"299","162-87344",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.1237,705
"300","162-87345",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,450
"301","162-87346",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,595
"302","162-87347",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,485
"303","162-87348",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0213,635
"304","162-87349",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9616,830
"305","162-87350",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0494,605
"306","162-87351",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,570
"307","162-87352",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,510
"308","162-87353",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,570
"309","162-87354",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1127,485
"310","162-87355",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,675
"311","162-87356",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006,685
"312","162-87357",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2161,580
"313","162-87358",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,640
"314","162-87359",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4959,540
"315","162-87360",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0841,760
"316","162-87361",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0414,575
"317","162-87362",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,545
"318","162-87365",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540
"319","162-87366",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3892,575
"320","162-87367",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0434,555
"321","162-87369",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,630
"322","162-87372",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.4108,550
"323","162-87374",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0111,570
"324","162-87375",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0152,630
"325","162-87376",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"326","162-87377",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"327","162-87378",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0731,NA
"328","162-87379",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0512,NA
"329","162-87380",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0236,NA
"330","162-87381",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"331","162-87382",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0442,NA
"332","162-87383",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"333","162-87384",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0511,680
"334","162-87385",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0537,780
"335","162-87386",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,675
"336","162-87387",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,555
"337","162-87388",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,460
"338","162-87389",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,660
"339","162-87390",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,525
"340","162-87391",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,555
"341","162-87392",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,540
"342","162-87394",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,640
"343","162-87395",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,550
"344","162-87396",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,660
"345","162-87397",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,570
"346","162-87399",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,650
"347","162-87400",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540
"348","162-87401",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,695
"349","162-87402",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0778,735
"350","162-87403",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,745
"351","162-87406",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.2614,635
"352","162-87407",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0077,435
"353","162-87408",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435
"354","162-87410",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,585
"355","162-87411",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.099,495
"356","162-87412",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0195,590
"357","162-87415",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,575
"358","162-87416",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,500
"359","162-87417",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,595
"360","162-87419",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,465
"361","162-87420",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,635
"362","162-87422",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0287,700
"363","162-87423",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0246,525
"364","162-87427",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,685
"365","162-87429",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"366","162-87432",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,485
"367","162-87443",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,585
"368","162-87444",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0535,610
"369","162-87445",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,485
"370","162-87446",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,635
"371","162-87447",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,605
"372","162-87448",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,660
"373","162-87449",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,605
"374","162-87451",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,565
"375","162-87452",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0093,535
"376","162-87453",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,630
"377","162-87454",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,535
"378","162-87461",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,535
"379","162-87462",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,585
"380","162-87471",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,580
"381","162-87472",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0326,430
"382","162-87473",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0064,620
"383","162-87474",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,425
"384","162-87475",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,600
"385","162-87476",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.21,810
"386","162-87477",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625
"387","162-87478",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,745
"388","162-87479",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,455
"389","162-87480",2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,490
"390","162-87488",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,470
"391","162-87489",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,700
"392","162-87490",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,490
"393","162-87491",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.047,825
"394","162-87492",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0229,555
"395","162-87493",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,570
"396","162-87494",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,510
"397","162-87495",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,535
"398","162-87496",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0419,605
"399","162-87497",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,680
"400","162-87498",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,555
"401","162-87499",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1932,700
"402","162-89651",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.8288,490
"403","162-89652",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5777,NA
"404","162-89653",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8478,665
"405","162-89654",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0272,675
"406","162-89655",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,660
"407","162-89656",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,490
"408","162-89657",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2614,675
"409","162-89661",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0145,400
"410","162-89662",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,490
"411","162-89663",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0061,445
"412","162-89670",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,585
"413","162-89671",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,550
"414","162-89672",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1493,610
"415","162-89674",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3786,720
"416","162-89675",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0271,640
"417","162-89677",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2099,NA
"418","162-89678",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.8592,NA
"419","162-89679",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8585,NA
"420","162-89690",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,720
"421","162-89693",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,490
"422","162-89694",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,630
"423","162-89696",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,710
"424","162-89698",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,505
"425","162-89699",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0021,560
"426","162-89700",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8075,705
"427","162-89701",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2475,620
"428","162-89702",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.7585,590
"429","162-89703",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.792,640
"430","162-89704",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0209,680
"431","162-89860",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,590
"432","162-89861",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,405
"433","162-89862",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,445
"434","162-89863",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0297,630
"435","162-89864",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,630
"436","162-89865",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,575
"437","162-89866",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,620
"438","162-89867",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,525
"439","162-89868",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0217,730
"440","162-89869",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2274,515
"441","162-89870",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0932,670
"442","162-89871",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.176,810
"443","162-89872",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0767,685
"444","162-89873",2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,555
"445","162-89884",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,550
"446","162-89885",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0643,455
"447","162-89886",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.043,545
"448","162-89888",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,650
"449","162-89889",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0167,595
"450","162-89890",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9342,635
"451","162-89891",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0261,565
"452","162-89892",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0458,610
"453","162-89893",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500
"454","162-89894",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,465
"455","162-89895",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,420
"456","162-89896",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,505
"457","162-89897",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,610
"458","162-89898",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,600
"459","162-89899",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1849,680
"460","162-89900",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00545,470
"461","162-91051",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0123,700
"462","162-91052",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,455
"463","162-91053",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,580
"464","162-91054",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.9552,610
"465","162-91055",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,595
"466","162-91056",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4088,720
"467","162-91057",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0324,690
"468","162-91058",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,670
"469","162-91059",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.4273,890
"470","162-91060",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,530
"471","162-91061",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,580
"472","162-91062",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0028,565
"473","162-91064",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0033,750
"474","162-91065",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002,520
"475","162-91066",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2863,465
"476","162-91067",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.5305,740
"477","162-91068",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.5893,505
"478","162-91070",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0047,710
"479","162-91071",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5355,535
"480","162-91072",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.915,525
"481","162-91073",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3202,645
"482","162-91074",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,630
"483","162-91075",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41.8854,685
"484","162-91076",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2036,765
"485","162-91077",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,685
"486","162-91078",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,575
"487","162-91079",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,545
"488","162-91080",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1236,550
"489","162-91081",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5e-04,600
"490","162-91082",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001,730
"491","162-91084",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,655
"492","162-91085",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,655
"493","162-91087",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5269,620
"494","162-91089",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.302,665
"495","162-91090",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5875,600
"496","162-91091",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6505,560
"497","162-91093",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4842,720
"498","162-91094",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8881,760
"499","162-91097",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.6345,575
"500","162-91098",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.1265,805
"501","162-91099",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1239,635
"502","162-91100",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0733,425
"503","162-91101",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0251,710
"504","162-91102",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7336,685
"505","162-91103",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.283,640
"506","162-91104",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0068,565
"507","162-91105",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,610
"508","162-91107",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,690
"509","162-91110",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,630
"510","162-91111",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1544,620
"511","162-91112",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7707,685
"512","162-91113",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.1608,645
"513","162-91114",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1831,755
"514","162-91115",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,605
"515","162-91116",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0217,460
"516","162-91117",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2534,565
"517","162-91118",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0231,595
"518","162-91119",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,765
"519","162-91120",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,630
"520","162-91121",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,520
"521","162-91122",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.013,635
"522","162-91123",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,590
"523","162-91124",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,640
"524","162-91125",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3802,675
"525","162-91126",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,570
"526","162-91127",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.021,620
"527","162-91129",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,700
"528","162-91130",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,620
"529","162-91131",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1621,540
"530","162-91132",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.103,535
"531","162-91133",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0403,580
"532","162-91134",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0541,640
"533","162-91135",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.5013,570
"534","162-91136",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,545
"535","162-91137",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.034,750
"536","162-91138",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.9075,705
"537","162-91139",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.074,725
"538","162-91140",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3652,655
"539","162-91141",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,615
"540","162-91142",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3914,590
"541","162-91143",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0245,645
"542","162-91144",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,435
"543","162-91145",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,610
"544","162-91146",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0082,640
"545","162-91147",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,655
"546","162-91148",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.018,650
"547","162-91149",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6873,850
"548","162-91150",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5132,705
